"Customer Name","MW-BETHESDA HOSPITAL"
"Account Number","0490067501"
"Recorder ID","104804722"
"Service Address1",""
"Service Address2",""
CityStateZip,"","OH",""

"DATE","TIME","kWh","kQh"
"010805","0145","307.8","370.44"
"010805","0200","307.8","375.84"
"010805","0215","308.88","373.68"
"010805","0230","307.8","372.6"
"010805","0245","307.8","372.6"
"010805","0300","307.8","371.52"
"010805","0315","307.8","372.6"
"010805","0330","308.88","372.6"
"010805","0345","313.2","374.76"
"010805","0400","307.8","372.6"
"010805","0415","306.72","369.36"
"010805","0430","309.96","374.76"
"010805","0445","307.8","371.52"
"010805","0500","305.64","367.2"
"010805","0515","308.88","371.52"
"010805","0530","307.8","368.28"
"010805","0545","314.28","374.76"
"010805","0600","304.56","365.04"
"010805","0615","308.88","369.36"
"010805","0630","307.8","367.2"
"010805","0645","309.96","368.28"
"010805","0700","306.72","365.04"
"010805","0715","308.88","367.2"
"010805","0730","308.88","366.12"
"010805","0745","311.04","372.6"
"010805","0800","314.28","372.6"
"010805","0815","311.04","370.44"
"010805","0830","308.88","369.36"
"010805","0845","313.2","371.52"
"010805","0900","312.12","372.6"
"010805","0915","311.04","371.52"
"010805","0930","313.2","373.68"
"010805","0945","314.28","370.44"
"010805","1000","312.12","373.68"
"010805","1015","305.64","366.12"
"010805","1030","281.88","338.04"
"010805","1045","286.2","338.04"
"010805","1100","288.36","344.52"
"010805","1115","280.8","334.8"
"010805","1130","285.12","338.04"
"010805","1145","287.28","340.2"
"010805","1200","287.28","342.36"
"010805","1215","302.4","360.72"
"010805","1230","317.52","376.92"
"010805","1245","315.36","372.6"
"010805","1300","305.64","365.04"
"010805","1315","313.2","373.68"
"010805","1330","312.12","374.76"
"010805","1345","308.88","372.6"
"010805","1400","308.88","372.6"
"010805","1415","308.88","372.6"
"010805","1430","306.72","368.28"
"010805","1445","305.64","366.12"
"010805","1500","305.64","367.2"
"010805","1515","307.8","371.52"
"010805","1530","308.88","370.44"
"010805","1545","305.64","368.28"
"010805","1600","301.32","363.96"
"010805","1615","303.48","365.04"
"010805","1630","305.64","370.44"
"010805","1645","303.48","368.28"
"010805","1700","304.56","367.2"
"010805","1715","305.64","367.2"
"010805","1730","303.48","365.04"
"010805","1745","302.4","361.8"
"010805","1800","300.24","358.56"
"010805","1815","304.56","361.8"
"010805","1830","307.8","365.04"
"010805","1845","305.64","367.2"
"010805","1900","302.4","362.88"
"010805","1915","308.88","366.12"
"010805","1930","308.88","367.2"
"010805","1945","306.72","366.12"
"010805","2000","307.8","366.12"
"010805","2015","302.4","367.2"
"010805","2030","306.72","368.28"
"010805","2045","303.48","365.04"
"010805","2100","303.48","366.12"
"010805","2115","304.56","368.28"
"010805","2130","302.4","365.04"
"010805","2145","304.56","369.36"
"010805","2200","302.4","367.2"
"010805","2215","304.56","368.28"
"010805","2230","302.4","368.28"
"010805","2245","302.4","369.36"
"010805","2300","303.48","370.44"
"010805","2315","301.32","368.28"
"010805","2330","300.24","367.2"
"010805","2345","302.4","370.44"
"010805","2400","300.24","368.28"
"010905","0015","298.08","367.2"
"010905","0030","300.24","367.2"
"010905","0045","299.16","367.2"
"010905","0100","299.16","369.36"
"010905","0115","302.4","371.52"
"010905","0130","298.08","369.36"
"010905","0145","301.32","371.52"
"010905","0200","295.92","367.2"
"010905","0215","299.16","368.28"
"010905","0230","299.16","369.36"
"010905","0245","302.4","371.52"
"010905","0300","301.32","372.6"
"010905","0315","299.16","368.28"
"010905","0330","299.16","370.44"
"010905","0345","301.32","370.44"
"010905","0400","301.32","371.52"
"010905","0415","298.08","369.36"
"010905","0430","299.16","370.44"
"010905","0445","302.4","373.68"
"010905","0500","301.32","369.36"
"010905","0515","301.32","371.52"
"010905","0530","304.56","370.44"
"010905","0545","304.56","371.52"
"010905","0600","301.32","369.36"
"010905","0615","300.24","368.28"
"010905","0630","299.16","366.12"
"010905","0645","300.24","365.04"
"010905","0700","299.16","366.12"
"010905","0715","306.72","370.44"
"010905","0730","304.56","367.2"
"010905","0745","303.48","366.12"
"010905","0800","304.56","369.36"
"010905","0815","304.56","369.36"
"010905","0830","304.56","368.28"
"010905","0845","302.4","365.04"
"010905","0900","305.64","368.28"
"010905","0915","303.48","365.04"
"010905","0930","304.56","365.04"
"010905","0945","304.56","369.36"
"010905","1000","303.48","365.04"
"010905","1015","305.64","369.36"
"010905","1030","308.88","366.12"
"010905","1045","302.4","365.04"
"010905","1100","306.72","368.28"
"010905","1115","304.56","366.12"
"010905","1130","305.64","369.36"
"010905","1145","306.72","369.36"
"010905","1200","307.8","368.28"
"010905","1215","307.8","372.6"
"010905","1230","302.4","368.28"
"010905","1245","307.8","372.6"
"010905","1300","303.48","368.28"
"010905","1315","304.56","369.36"
"010905","1330","304.56","370.44"
"010905","1345","304.56","371.52"
"010905","1400","303.48","369.36"
"010905","1415","322.92","392.04"
"010905","1430","373.68","439.56"
"010905","1445","373.68","439.56"
"010905","1500","371.52","436.32"
"010905","1515","367.2","432"
"010905","1530","352.08","424.44"
"010905","1545","351","425.52"
"010905","1600","346.68","422.28"
"010905","1615","348.84","423.36"
"010905","1630","346.68","420.12"
"010905","1645","346.68","416.88"
"010905","1700","346.68","416.88"
"010905","1715","348.84","417.96"
"010905","1730","348.84","416.88"
"010905","1745","346.68","413.64"
"010905","1800","341.28","402.84"
"010905","1815","301.32","360.72"
"010905","1830","305.64","365.04"
"010905","1845","304.56","365.04"
"010905","1900","306.72","365.04"
"010905","1915","302.4","365.04"
"010905","1930","305.64","367.2"
"010905","1945","303.48","363.96"
"010905","2000","301.32","362.88"
"010905","2015","303.48","365.04"
"010905","2030","305.64","367.2"
